"sim","mode","first_crossing","peak","final"
104,"correct_conditional",NA,1.40069051909985,0.178526039455059
105,"history_naive",14,9.57096264051296e+285,9.57096264051296e+285
105,"practical_naive",NA,2.82264100446648,0.151573136178538
105,"correct_conditional",NA,3.06579680308083,0.343886687016237
106,"history_naive",14,9.62858994375374e+285,9.62858994375374e+285
106,"practical_naive",NA,1.15287271814326,0.183405943036589
106,"correct_conditional",NA,1.02093609519126,0.120251913852086
107,"history_naive",14,7.17822198038472e+285,4.78548132025648e+285
107,"practical_naive",NA,3.60667310455548,2.34392127683547
107,"correct_conditional",NA,2.40406406011913,0.857386898605882
108,"history_naive",14,9.84287456647602e+285,9.84287456647602e+285
108,"practical_naive",NA,1.37941589975326,0.202439499007985
108,"correct_conditional",NA,1.03370088273646,0.197504193206326
109,"history_naive",14,9.82319866021765e+285,9.82319866021765e+285
109,"practical_naive",NA,1.49596864516539,0.297981470475232
109,"correct_conditional",NA,1.16339056011653,0.355733419571005
110,"history_naive",15,7.36739899516318e+285,4.91159933010879e+285
110,"practical_naive",NA,1.98438429455691,0.201902222315905
110,"correct_conditional",NA,3.50203756034574,0.357976844503125
111,"history_naive",14,7.29405565562379e+285,4.86270377041586e+285
111,"practical_naive",NA,13.7701279844254,0.0220528352252614
111,"correct_conditional",NA,9.35379974896985,0.00489035863440056
112,"history_naive",14,9.58054318369667e+285,9.58054318369667e+285
112,"practical_naive",NA,6.59772735877542,0.11821698423086
112,"correct_conditional",NA,3.23785022285958,0.263035613160412
113,"history_naive",14,7.33797357411431e+285,4.89198238274287e+285
113,"practical_naive",NA,10.8582007634005,0.0153399514174097
113,"correct_conditional",NA,4.38854157138152,0.00234060720405375
114,"history_naive",14,9.82319866021763e+285,9.82319866021763e+285
114,"practical_naive",NA,1.12436856295616,0.213292638121938
114,"correct_conditional",NA,1.03553160755044,0.167216808473363
115,"history_naive",14,9.65753358155519e+285,9.65753358155519e+285
115,"practical_naive",NA,1.56506404041523,0.215745598986917
115,"correct_conditional",NA,1.16526072387616,0.412326346924374
116,"history_naive",14,9.84287456647605e+285,9.84287456647605e+285
116,"practical_naive",NA,1.34659449091371,0.157007149112074
116,"correct_conditional",NA,1.4300250087332,0.146979653885144
117,"history_naive",14,9.83303169190958e+285,9.83303169190958e+285
117,"practical_naive",NA,2.77221441104453,0.460711407931896
117,"correct_conditional",NA,2.23044841590707,0.197100484916219
118,"history_naive",14,7.19259998776026e+285,4.79506665850684e+285
118,"practical_naive",NA,1.86184291230367,0.0545094719291515
118,"correct_conditional",NA,1.69238142115249,0.206467658718302
119,"history_naive",14,9.79375852400978e+285,9.79375852400978e+285
119,"practical_naive",NA,3.78063703407795,0.16581069272447
119,"correct_conditional",NA,3.28137601373631,0.019302746500441
120,"history_naive",14,9.98171384775662e+285,9.98171384775662e+285
120,"practical_naive",NA,1.27312718452537,0.220797408668906
120,"correct_conditional",NA,1.48366830395471,0.386522851898174
121,"history_naive",14,7.27219536352985e+285,4.84813024235323e+285
121,"practical_naive",NA,1.0774571186582,0.168478252868495
121,"correct_conditional",NA,1.10629602190196,0.17909455827328
122,"history_naive",14,9.64787604797362e+285,9.64787604797362e+285
122,"practical_naive",NA,3.28039316629842,0.215030672687609
122,"correct_conditional",NA,1.4427282591271,0.218179689403491
123,"history_naive",14,7.33063560054019e+285,4.88709040036013e+285
123,"practical_naive",NA,2.64258530283526,0.192746407390423
123,"correct_conditional",NA,1.21657219178778,0.108276133737746
