"sim","scenario","threshold","bayes_method","ert_method","bayes_first_crossing","ert_first_crossing","combined_first_crossing","bayes_only","ert_only","both","neither"
3643,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3643,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3644,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",897,NA,897,TRUE,FALSE,FALSE,FALSE
3644,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",897,512,512,FALSE,FALSE,TRUE,FALSE
3644,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3644,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,512,512,FALSE,TRUE,FALSE,FALSE
3645,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3645,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3646,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3647,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
