"sim","scenario","method","first_crossing","direction","statistic_at_crossing","effect_at_crossing","final_effect","type_m"
27,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0119444839141459,NA
27,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0119444839141459,NA
27,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0119444839141459,NA
27,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0119444839141459,NA
28,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.39042809069763,0.073545111799619,0.0753555435590639,0.97597480326015
28,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.39042809069763,0.073545111799619,0.0753555435590639,0.97597480326015
28,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.39042809069763,0.073545111799619,0.0753555435590639,0.97597480326015
28,"Alternative: 35% vs 30%","e-RTb adaptive",1534,"benefit",0.0725053035248041,0.0725053035248041,0.0753555435590639,0.962176106764783
28,"Alternative: 35% vs 30%","e-RTb design directional",1448,"benefit",0.0599969474969475,0.0599969474969475,0.0753555435590639,0.796184921019404
29,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.1518400399465,0.0389193288756808,0.0389193288756808,1
29,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0389193288756808,NA
29,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.1518400399465,0.0389193288756808,0.0389193288756808,1
29,"Alternative: 35% vs 30%","e-RTb adaptive",321,"benefit",0.15587408217466,0.15587408217466,0.0389193288756808,4.00505575706522
29,"Alternative: 35% vs 30%","e-RTb design directional",557,"benefit",0.118269726663228,0.118269726663228,0.0389193288756808,3.0388429112181
30,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.51304580718816,0.0774038988335375,0.0758115726041597,1.02100373563931
30,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.54899384901145,0.0797672915319974,0.0758115726041597,1.05217829932762
30,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.51304580718816,0.0774038988335375,0.0758115726041597,1.02100373563931
30,"Alternative: 35% vs 30%","e-RTb adaptive",2145,"benefit",0.0848765727636593,0.0848765727636593,0.0758115726041597,1.11957277560817
30,"Alternative: 35% vs 30%","e-RTb design directional",563,"benefit",0.11979797979798,0.11979797979798,0.0758115726041597,1.58020702754037
31,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0269657603623449,NA
31,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0269657603623449,NA
31,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0269657603623449,NA
31,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0269657603623449,NA
31,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0269657603623449,NA
32,"Alternative: 35% vs 30%","OBF two-sided",897,"benefit",3.44991081800149,0.108501040598269,0.0823203323008384,1.31803453127174
32,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.44991081800149,0.108501040598269,0.0823203323008384,1.31803453127174
32,"Alternative: 35% vs 30%","Haybittle-Peto",897,"benefit",3.44991081800149,0.108501040598269,0.0823203323008384,1.31803453127174
32,"Alternative: 35% vs 30%","e-RTb adaptive",363,"benefit",0.173062865497076,0.173062865497076,0.0823203323008384,2.1023100935091
32,"Alternative: 35% vs 30%","e-RTb design directional",342,"benefit",0.17283950617284,0.17283950617284,0.0823203323008384,2.09959679877385
33,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.56049847482187,0.0559147813534432,0.0598426955360381,0.934362679564969
33,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.97658301571108,0.0929510155316607,0.0598426955360381,1.55325582678147
33,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.32553835738412,0.0598426955360381,0.0598426955360381,1
33,"Alternative: 35% vs 30%","e-RTb adaptive",645,"benefit",0.0911064790689594,0.0911064790689594,0.0598426955360381,1.52243274225664
33,"Alternative: 35% vs 30%","e-RTb design directional",812,"benefit",0.090376706295448,0.090376706295448,0.0598426955360381,1.51023789095566
34,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.65643662104635,0.0477628032345015,0.0477628032345015,1
34,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.65643662104635,0.0477628032345015,0.0477628032345015,1
34,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.65643662104635,0.0477628032345015,0.0477628032345015,1
34,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0477628032345015,NA
34,"Alternative: 35% vs 30%","e-RTb design directional",2178,"benefit",0.0496713323525043,0.0496713323525043,0.0477628032345015,1.03995848209814
35,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.33371873156079,0.0737616592173768,0.0583081111709995,1.26503256126848
35,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.33371873156079,0.0737616592173768,0.0583081111709995,1.26503256126848
35,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.33371873156079,0.0737616592173768,0.0583081111709995,1.26503256126848
35,"Alternative: 35% vs 30%","e-RTb adaptive",1822,"benefit",0.0762406732604546,0.0762406732604546,0.0583081111709995,1.30754832782809
35,"Alternative: 35% vs 30%","e-RTb design directional",1155,"benefit",0.0701128936423052,0.0701128936423052,0.0583081111709995,1.20245523708847
36,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.58628693641884,0.0562206166734278,0.0692707665223186,0.811606677620839
36,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.58628693641884,0.0562206166734278,0.0692707665223186,0.811606677620839
36,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.87336520070932,0.0692707665223186,0.0692707665223186,1
36,"Alternative: 35% vs 30%","e-RTb adaptive",2169,"benefit",0.0606768419710047,0.0606768419710047,0.0692707665223186,0.875937210128244
36,"Alternative: 35% vs 30%","e-RTb design directional",1727,"benefit",0.0540111284602052,0.0540111284602052,0.0692707665223186,0.779710275658682
37,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.035435682445341,NA
37,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.035435682445341,NA
37,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.035435682445341,NA
37,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.035435682445341,NA
37,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.035435682445341,NA
38,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.34610833405922,0.0421999495657788,0.0421999495657788,1
38,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.34610833405922,0.0421999495657788,0.0421999495657788,1
38,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.34610833405922,0.0421999495657788,0.0421999495657788,1
38,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0421999495657788,NA
38,"Alternative: 35% vs 30%","e-RTb design directional",2383,"benefit",0.0467908447548429,0.0467908447548429,0.0421999495657788,1.1087891155393
39,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0344432925565,NA
39,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0344432925565,NA
39,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0344432925565,NA
39,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0344432925565,NA
39,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0344432925565,NA
40,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",3.32625427563068,0.0603439743116894,0.0603439743116894,1
40,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",3.32625427563068,0.0603439743116894,0.0603439743116894,1
40,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.32625427563068,0.0603439743116894,0.0603439743116894,1
40,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0603439743116894,NA
40,"Alternative: 35% vs 30%","e-RTb design directional",2195,"benefit",0.0501266138071318,0.0501266138071318,0.0603439743116894,0.830681346048195
41,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.11277381635928,0.0380306347910352,0.0380306347910352,1
41,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0380306347910352,NA
41,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.11277381635928,0.0380306347910352,0.0380306347910352,1
41,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0380306347910352,NA
41,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0380306347910352,NA
42,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.66448282346566,0.0478783401821535,0.0478783401821535,1
42,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.66448282346566,0.0478783401821535,0.0478783401821535,1
42,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.66448282346566,0.0478783401821535,0.0478783401821535,1
42,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0478783401821535,NA
42,"Alternative: 35% vs 30%","e-RTb design directional",2324,"benefit",0.0473335245289955,0.0473335245289955,0.0478783401821535,0.9886208324874
43,"Alternative: 35% vs 30%","OBF two-sided",897,"benefit",3.50968560475885,0.111215538847118,0.0792733862626039,1.40293664860867
43,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.50968560475885,0.111215538847118,0.0792733862626039,1.40293664860867
43,"Alternative: 35% vs 30%","Haybittle-Peto",897,"benefit",3.50968560475885,0.111215538847118,0.0792733862626039,1.40293664860867
43,"Alternative: 35% vs 30%","e-RTb adaptive",323,"benefit",0.146476278212805,0.146476278212805,0.0792733862626039,1.8477358558594
